  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.398  0.9958750       3427       7.15      0.261       2.535
     2.864  0.9935772       3286       3.49      2.535       3.193
     3.424  0.9938088       3264       2.92      3.193       3.655
     3.839  0.9934312       3228       2.60      3.655       4.023
     4.178  0.9932307       3219       2.39      4.023       4.334
     4.469  0.9909189       3244       2.24      4.334       4.605
     4.727  0.9870516       3179       2.12      4.605       4.848
     4.958  0.9848691       3211       2.02      4.848       5.069
     5.170  0.9734388       3183       1.93      5.069       5.272
     5.366  0.9424178       3216       1.86      5.272       5.460
     5.548  0.8982441       3148       1.80      5.460       5.636
     5.719  0.6699216       3232       1.75      5.636       5.802
     5.880  0.7572028       3156       1.70      5.802       5.959
     6.033  0.6307469       3170       1.66      5.959       6.108
     6.179  0.5532904       3207       1.62      6.108       6.250
