Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.182     1987     1985 100.10     856498 431.1  8.75     124.17     8.46       0.262      2.102
     2.375     1879     1879 100.00     491587 261.6  8.51     117.89     4.21       2.102      2.648
     2.839     1870     1870 100.00     396697 212.1  7.73      63.37     3.52       2.648      3.031
     3.183     1850     1850 100.00     377169 203.9  6.90      29.86     3.14       3.031      3.335
     3.464     1847     1847 100.00     355964 192.7  6.29      18.50     2.89       3.335      3.593
     3.705     1841     1841 100.00     337594 183.4  5.40      11.80     2.70       3.593      3.818
     3.919     1847     1847 100.00     321886 174.3  4.80       8.88     2.55       3.818      4.019
     4.111     1817     1817 100.00     303776 167.2  4.25       6.86     2.43       4.019      4.202
     4.286     1841     1841 100.00     294750 160.1  3.63       5.31     2.33       4.202      4.370
     4.448     1816     1816 100.00     269038 148.1  2.94       4.22     2.25       4.370      4.526
     4.599     1832     1832 100.00     260903 142.4  2.46       3.27     2.17       4.526      4.673
     4.741     1792     1792 100.00     250049 139.5  1.97       2.43     2.11       4.673      4.810
     4.875     1844     1844 100.00     240950 130.7  1.68       2.02     2.05       4.810      4.940
     5.002     1817     1817 100.00     234923 129.3  1.34       1.55     2.00       4.940      5.064
     5.122     1814     1814 100.00     236885 130.6  0.98       1.04     1.95       5.064      5.181
